date,close,high,low,open,volume
2023-06-08,43995.25,44459.25,43917.8984375,44208.30078125,160200
2023-06-09,43989.0,44220.1015625,43932.6015625,44045.75,132300
2023-06-12,43944.19921875,44124.94921875,43874.05078125,44035.19921875,91400
2023-06-13,44079.8515625,44138.1484375,43889.69921875,43889.69921875,160000
2023-06-14,43988.0,44212.3515625,43956.1484375,44181.6484375,154600
2023-06-15,43443.6015625,44077.44921875,43397.5,44054.3515625,228200
2023-06-16,43938.1484375,44083.25,43536.94921875,43583.3515625,234700
2023-06-19,43633.75,44040.3515625,43501.3984375,44015.30078125,234900
2023-06-20,43766.5,43823.94921875,43345.94921875,43597.55078125,161900
2023-06-21,43859.19921875,43946.69921875,43698.94921875,43894.3984375,180000
2023-06-22,43724.8515625,44042.1484375,43663.3515625,43874.80078125,263800
2023-06-23,43622.8984375,43824.1015625,43519.55078125,43641.6015625,161300
2023-06-26,43641.05078125,43773.1015625,43541.75,43714.75,120700
2023-06-27,44121.5,44194.6484375,43693.1484375,43804.55078125,137300
2023-06-28,44327.80078125,44508.3984375,44163.19921875,44419.5,243800
2023-06-30,44747.3515625,44787.1015625,44447.19921875,44666.0,191300
2023-07-03,45158.1015625,45353.19921875,44882.1015625,44957.94921875,228200
2023-07-04,45301.44921875,45655.5,45000.25,45310.55078125,463000
2023-07-05,45151.80078125,45418.8984375,45073.3984375,45169.69921875,366300
2023-07-06,45339.8984375,45417.5,45042.6015625,45060.55078125,244900
